#,"Country,Other",TotalCases,TotalTests,TotalRecovered,Population,TotalCases - PopulationRatio,TotalDeaths - PopulationRatio,TotalTests - PopulationRatio
70,Panama,1059893,7882622,"1,051,102",4446964,0.23834081,0.001962462,1.772585072
71,Uruguay,1041111,6114822,"1,030,944",3496016,0.297799266,0.00219221,1.749082956
72,Mongolia,1011496,4030048,"1,009,212",3378078,0.299429439,0.000676124,1.19300028
73,Nepal,1003450,6047766,"991,322",30225582,0.033198699,0.00039804,0.200087661
74,Belarus,994037,13646641,"985,592",9432800,0.105380905,0.000754601,1.446722182
75,Latvia,982505,7885792,"971,406",1848837,0.531417859,0.003632013,4.265271628
76,Saudi Arabia,841469,45481735,0,35844909,0.023475272,0.000269104,1.26884783
77,Paraguay,837602,2657506,0,7305843,0.114648234,0.002758751,0.363750768
78,Azerbaijan,835234,7748050,"824,089",10300205,0.081089066,0.001009689,0.752222893
79,Bahrain,729549,10948549,"727,915",1783983,0.408943919,0.000882295,6.137137518
80,Cyprus,681110,9640118,"679,745",1223387,0.556741244,0.001115755,7.879859766
81,Dominican Republic,675890,3740928,"671,316",11056370,0.061131275,0.000396514,0.338350471
82,Sri Lanka,672754,6486117,"655,852",21575842,0.031180892,0.000783144,0.300619415
83,Kuwait,667158,8455743,0,4380326,0.152307842,0.000586714,1.930391254
84,Myanmar,641873,11711514,"620,159",55227143,0.011622419,0.000352997,0.212060834
85,Moldova,635145,3216305,0,4013171,0.158265123,0.003044475,0.801437317
86,Estonia,628070,6968103,0,1321910,0.475123117,0.0022702,5.271238587
87,Palestine,621008,3078533,"615,445",5345541,0.116173087,0.001010936,0.575906723
88,Venezuela,552695,3359014,"546,537",29266991,0.018884586,0.000200089,0.114771416
89,Egypt,516023,3693367,"442,182",106156692,0.004860956,0.000231855,0.034791655
90,Qatar,514524,4065369,"513,687",2979915,0.172663985,0.00023155,1.364256699
91,Libya,507274,2483848,"500,835",7040745,0.072048341,0.00091425,0.352781985
92,Ethiopia,501157,5565340,"488,171",120812698,0.004148215,6.27E-05,0.046065853
93,R̩union,494595,1603660,0,908061,0.544671558,0.001014249,1.766026732
94,Honduras,474590,1660662,0,10221247,0.046431712,0.001092332,0.162471565
95,Armenia,451831,3242901,"435,162",2971966,0.152031012,0.002953264,1.09116356
96,Bosnia and Herzegovina,403615,1884721,"379,084",3249317,0.124215335,0.005043521,0.580036051
97,Oman,399449,25000000,0,5323993,0.075028085,0.000869272,4.69572368
98,Luxembourg,391232,4587145,0,642371,0.609043683,0.001917895,7.140959041
99,North Macedonia,350567,2226216,"337,068",2081304,0.16843623,0.004793149,1.069625581
100,Zambia,349304,4112961,"341,316",19470234,0.017940411,0.000208986,0.211243532
101,Kenya,344130,3967062,"337,309",56215221,0.006121652,0.0001012,0.070569179
102,Brunei,343719,717784,"243,601",445431,0.771654869,0.000505129,1.611437013
103,Albania,334863,1941032,"330,233",2866374,0.116824601,0.001257687,0.677173321
104,Botswana,330638,2026898,"327,049",2441162,0.135442875,0.001147404,0.830300488
105,Montenegro,296542,2769281,"291,794",627950,0.472238236,0.004532208,4.410034238
106,Algeria,272010,230960,"183,061",45350148,0.005997996,0.00015173,0.005092817
107,Nigeria,267188,5708974,"259,953",216746934,0.001232719,1.46E-05,0.026339353
108,Zimbabwe,266359,2525756,"258,888",15331428,0.017373398,0.000374394,0.164743689
109,Uzbekistan,253662,1377915,"241,486",34382084,0.007377738,4.76E-05,0.040076541
110,Afghanistan,234174,1390730,"211,080",40754388,0.005745982,0.0001962,0.034124669
111,Mozambique,233731,1371127,"228,805",33089461,0.007063609,6.80E-05,0.04143697
112,Martinique,230354,828928,0,374087,0.615776544,0.002945839,2.21586957
113,Laos,218970,1233207,0,7481023,0.029270061,0.000101323,0.164844701
114,Iceland,209906,1996384,0,345393,0.607730904,0.000663013,5.780036075
115,Kyrgyzstan,206897,1907195,"196,406",6728271,0.030750396,0.000444542,0.283459896
116,Guadeloupe,203235,938039,0,399794,0.5083493,0.002553815,2.346305848
117,El Salvador,201855,2610114,"179,410",6550389,0.030815727,0.000645763,0.398467022
118,Trinidad and Tobago,191496,913289,"187,078",1406585,0.136142501,0.003121034,0.649295279
119,Maldives,186694,2213831,"163,687",540985,0.345100141,0.00058412,4.09222252
120,Namibia,172389,1062663,"167,099",2633874,0.065450739,0.00155892,0.403460074
121,Uganda,172149,3012408,"100,431",48432863,0.003554384,7.50E-05,0.062197603
122,Ghana,171889,2541625,"170,425",32395450,0.005305961,4.51E-05,0.078456234
123,Jamaica,156869,1183986,0,2985094,0.052550774,0.001258252,0.396632736
124,Cambodia,139103,3091420,"136,044",17168639,0.008102156,0.000177999,0.180062031
125,Rwanda,133518,6021981,"132,039",13600464,0.009817165,0.000107937,0.442777614
126,Cameroon,125379,1751774,"123,280",27911548,0.004492012,7.07E-05,0.062761621
127,Malta,121420,2170600,"120,149",444033,0.273448145,0.001993095,4.888375414
128,Barbados,110578,814159,"108,647",288023,0.383920729,0.00224982,2.826715228
129,Angola,107327,1499795,"103,419",35027343,0.003064092,5.53E-05,0.042817835
130,Channel Islands,101717,1252808,"101,321",176463,0.576421119,0.001292056,7.099550614
131,DRC,99338,846704,"84,489",95240792,0.001043019,1.54E-05,0.00889014
132,French Guiana,98041,651257,"11,254",314169,0.312064526,0.00133686,2.072951182
133,Malawi,89535,624784,0,20180839,0.004436634,0.000133097,0.030959268
134,Senegal,89053,1146543,"87,024",17653671,0.005044447,0.000111648,0.064946435
135,Ivory Coast,88384,1690934,"87,497",27742298,0.003185893,3.01E-05,0.060951476
136,Suriname,82588,242207,0,596831,0.138377531,0.002359127,0.405821749
137,New Caledonia,80064,98964,0,290915,0.27521441,0.001079353,0.34018184
138,French Polynesia,79254,0,0,284164,0.278902324,0.002287411,0
139,Eswatini,75191,1048704,"73,116",1184817,0.063462121,0.001204405,0.885118968
140,Guyana,74137,733218,"72,013",794045,0.093366245,0.001637187,0.923396029
141,Belize,71409,576016,0,412190,0.173242922,0.001669133,1.397452631
142,Fiji,69117,672883,"67,226",909466,0.075997343,0.000973098,0.739866031
143,Madagascar,68486,531329,"66,862",29178077,0.002347173,4.89E-05,0.01820987
144,Cabo Verde,64477,401622,"63,755",567678,0.113580234,0.000734571,0.707482058
145,Sudan,63993,562941,"58,947",45992020,0.001391394,0.000109715,0.012239971
146,Mauritania,63848,1009957,"62,471",4901981,0.013024938,0.000203387,0.206030378
147,Bhutan,62697,2303734,"61,564",787941,0.079570679,2.67E-05,2.923739214
148,Syria,57743,146269,"54,578",19364809,0.002981852,0.000163441,0.007553341
149,Burundi,54721,345742,"53,569",12624840,0.004334392,3.01E-06,0.027385852
150,Seychelles,51220,0,"51,048",99426,0.515157001,0.00172993,0
151,Gabon,49051,1621909,"48,674",2331533,0.02103809,0.000131673,0.695640594
152,Andorra,48015,249838,0,77463,0.619844313,0.002130049,3.225255929
153,Papua New Guinea,46864,249149,"46,168",9292169,0.005043387,7.21E-05,0.026812793
154,Cura̤ao,45986,496693,"44,720",165529,0.277812347,0.001782165,3.000640371
155,Aruba,44224,177885,"42,438",107609,0.410969343,0.002713528,1.653068052
156,Tanzania,43223,0,0,63298550,0.000682843,1.34E-05,0
157,Mauritius,43025,358675,"41,278",1274727,0.033752325,0.00082449,0.281373973
158,Mayotte,42027,176919,0,286259,0.146814598,0.000656748,0.61803821
159,Togo,39572,815204,"39,281",8680837,0.004558547,3.34E-05,0.093908456
160,Guinea,38572,660107,"37,757",13865691,0.00278183,3.38E-05,0.04760722
161,Bahamas,38084,257839,"36,366",400516,0.095087337,0.002107282,0.643767041
162,Isle of Man,38008,150753,0,85732,0.443335044,0.001353054,1.758421593
163,Lesotho,36138,431221,"25,980",2175699,0.016609834,0.000332307,0.198198832
164,Haiti,34667,132422,"33,734",11680283,0.002967993,7.36E-05,0.011337225
165,Faeroe Islands,34658,778000,0,49233,0.703958727,0.000568724,15.80240895
166,Mali,33164,804909,"32,332",21473764,0.001544396,3.46E-05,0.037483368
167,Cayman Islands,31472,222773,"8,553",67277,0.467797316,0.000549965,3.311280229
168,Saint Lucia,30215,210983,"29,805",185113,0.163224625,0.002214863,1.139752476
169,Benin,28036,604310,"27,847",12784726,0.002192929,1.27E-05,0.047268123
170,Macao,27673,7850,"3,487",667490,0.041458299,0.000184272,0.011760476
171,Somalia,27334,400466,"13,182",16841795,0.001622986,8.08E-05,0.023778107
172,Micronesia,26547,82430,0,117489,0.225953068,0.000553243,0.701597596
173,San Marino,26185,196855,"26,011",34085,0.768226493,0.003755318,5.775414405
174,Solomon Islands,25954,0,0,721159,0.035989289,0.000275945,0
175,Congo,25375,347815,"24,006",5797805,0.004376656,6.66E-05,0.059990807
176,Timor-Leste,23460,278529,"23,102",1369429,0.017131228,0.000100772,0.20339061
177,Burkina Faso,22114,248995,"21,596",22102838,0.001000505,1.81E-05,0.011265295
178,Liechtenstein,21574,112457,0,38387,0.562013182,0.002448746,2.929559486
179,Gibraltar,20550,534283,0,33704,0.609719915,0.003352718,15.85221339
180,Grenada,19693,182981,"19,358",113475,0.173544834,0.002097378,1.612522582
181,Bermuda,18860,1029558,"18,685",61939,0.30449313,0.002663911,16.62212822
182,South Sudan,18819,410280,"18,115",11618511,0.001619743,1.27E-05,0.035312614
183,Nicaragua,18491,0,"4,225",6779100,0.002727648,3.32E-05,0
184,Tajikistan,17786,0,"17,264",9957464,0.001786198,1.26E-05,0
185,Equatorial Guinea,17229,365697,"16,907",1496662,0.011511617,0.000122272,0.244341742
186,Monaco,17181,78646,0,39783,0.431867883,0.001684136,1.976874544
187,Samoa,17006,187397,"1,605",202239,0.084088628,0.000153284,0.926611583
188,Tonga,16950,535009,"15,638",107749,0.157310045,0.000120651,4.965326824
189,Marshall Islands,16138,0,"16,121",60057,0.268711391,0.000283064,0
190,Dominica,16038,229344,"15,964",72344,0.221690811,0.001022891,3.170186885
191,Djibouti,15690,305941,"15,427",1016097,0.015441439,0.000186006,0.301094285
192,CAR,15440,81294,"15,200",5016678,0.003077734,2.25E-05,0.016204747
